id,dossier,kategorie,detail
INST01,Institutionell,laengen_verraeter,correct 1.67x laenger als Distraktor-Schnitt
INST02,Institutionell,laengen_verraeter,correct 1.69x laenger als Distraktor-Schnitt
INST03,Institutionell,laengen_verraeter,correct 1.62x laenger als Distraktor-Schnitt
INST04,Institutionell,laengen_verraeter,correct 1.93x laenger als Distraktor-Schnitt
INST05,Institutionell,laengen_verraeter,correct 2.04x laenger als Distraktor-Schnitt
INST07,Institutionell,laengen_verraeter,correct 1.83x laenger als Distraktor-Schnitt
INST08,Institutionell,laengen_verraeter,correct 1.46x laenger als Distraktor-Schnitt
INST10,Institutionell,laengen_verraeter,correct 1.52x laenger als Distraktor-Schnitt
LUV02,Luftverkehr,laengen_verraeter,correct 1.68x laenger als Distraktor-Schnitt
LUV03,Luftverkehr,laengen_verraeter,correct 1.44x laenger als Distraktor-Schnitt
LUV04,Luftverkehr,laengen_verraeter,correct 1.67x laenger als Distraktor-Schnitt
LUV07,Luftverkehr,laengen_verraeter,correct 1.39x laenger als Distraktor-Schnitt
LUV08,Luftverkehr,laengen_verraeter,correct 1.46x laenger als Distraktor-Schnitt
LUV09,Luftverkehr,laengen_verraeter,correct 1.45x laenger als Distraktor-Schnitt
LUV10,Luftverkehr,laengen_verraeter,correct 2.94x laenger als Distraktor-Schnitt
MRA01,MRA,laengen_verraeter,correct 1.68x laenger als Distraktor-Schnitt
MRA03,MRA,laengen_verraeter,correct 2.12x laenger als Distraktor-Schnitt
MRA04,MRA,laengen_verraeter,correct 1.85x laenger als Distraktor-Schnitt
MRA06,MRA,laengen_verraeter,correct 1.82x laenger als Distraktor-Schnitt
MRA09,MRA,laengen_verraeter,correct 2.51x laenger als Distraktor-Schnitt
MRA10,MRA,laengen_verraeter,correct 2.49x laenger als Distraktor-Schnitt
MRA11,MRA,laengen_verraeter,correct 1.71x laenger als Distraktor-Schnitt
GES01,Gesundheit,laengen_verraeter,correct 2.02x laenger als Distraktor-Schnitt
GES02,Gesundheit,laengen_verraeter,correct 2.02x laenger als Distraktor-Schnitt
GES03,Gesundheit,laengen_verraeter,correct 1.76x laenger als Distraktor-Schnitt
GES04,Gesundheit,laengen_verraeter,correct 1.74x laenger als Distraktor-Schnitt
FZA01,Personenfreizügigkeit,laengen_verraeter,correct 1.39x laenger als Distraktor-Schnitt
FZA02,Personenfreizügigkeit,laengen_verraeter,correct 2.23x laenger als Distraktor-Schnitt
FZA03,Personenfreizügigkeit,laengen_verraeter,correct 1.85x laenger als Distraktor-Schnitt
FZA04,Personenfreizügigkeit,laengen_verraeter,correct 2.1x laenger als Distraktor-Schnitt
FZA05,Personenfreizügigkeit,laengen_verraeter,correct 2.13x laenger als Distraktor-Schnitt
