Deutsch;Englisch;Kategorie
ja;yes;Grundwortschatz
nein;no;Grundwortschatz
bitte;please;Grundwortschatz
danke;thanks;Grundwortschatz
hallo;hello;Grundwortschatz
tschüss;bye;Grundwortschatz
gut;good;Grundwortschatz
schlecht;bad;Grundwortschatz
richtig;correct;Grundwortschatz
falsch;wrong;Grundwortschatz
wichtig;important;Grundwortschatz
möglich;possible;Grundwortschatz
unmöglich;impossible;Grundwortschatz
leicht;easy;Grundwortschatz
schwer;difficult;Grundwortschatz
neu;new;Grundwortschatz
alt;old;Grundwortschatz
gross;big;Grundwortschatz
klein;small;Grundwortschatz
lang;long;Grundwortschatz
kurz;short;Grundwortschatz
hoch;high;Grundwortschatz
niedrig;low;Grundwortschatz
breit;wide;Grundwortschatz
schmal;narrow;Grundwortschatz
nah;near;Grundwortschatz
fern;far;Grundwortschatz
früh;early;Grundwortschatz
spät;late;Grundwortschatz
schnell;fast;Grundwortschatz
langsam;slow;Grundwortschatz
viel;much;Grundwortschatz
wenig;little;Grundwortschatz
mehr;more;Grundwortschatz
weniger;less;Grundwortschatz
alles;everything;Grundwortschatz
nichts;nothing;Grundwortschatz
etwas;something;Grundwortschatz
jemand;someone;Grundwortschatz
niemand;nobody;Grundwortschatz
jeder;everyone;Grundwortschatz
anderer;other;Grundwortschatz
gleich;same;Grundwortschatz
anders;different;Grundwortschatz
hier;here;Grundwortschatz
dort;there;Grundwortschatz
oben;above;Grundwortschatz
unten;below;Grundwortschatz
links;left;Grundwortschatz
rechts;right;Grundwortschatz
vorne;front;Grundwortschatz
hinten;back;Grundwortschatz
innen;inside;Grundwortschatz
aussen;outside;Grundwortschatz
heute;today;Grundwortschatz
gestern;yesterday;Grundwortschatz
morgen;tomorrow;Grundwortschatz
jetzt;now;Grundwortschatz
später;later;Grundwortschatz
immer;always;Grundwortschatz
nie;never;Grundwortschatz
oft;often;Grundwortschatz
selten;rarely;Grundwortschatz
manchmal;sometimes;Grundwortschatz
wieder;again;Grundwortschatz
schon;already;Grundwortschatz
noch;still;Grundwortschatz
nur;only;Grundwortschatz
auch;also;Grundwortschatz
aber;but;Grundwortschatz
oder;or;Grundwortschatz
und;and;Grundwortschatz
weil;because;Grundwortschatz
wenn;if;Grundwortschatz
dann;then;Grundwortschatz
also;therefore;Grundwortschatz
trotzdem;nevertheless;Grundwortschatz
vielleicht;maybe;Grundwortschatz
sicher;sure;Grundwortschatz
wahrscheinlich;probably;Grundwortschatz
wirklich;really;Grundwortschatz
fast;almost;Grundwortschatz
ganz;quite;Grundwortschatz
sehr;very;Grundwortschatz
zu;too;Grundwortschatz
für;for;Grundwortschatz
mit;with;Grundwortschatz
ohne;without;Grundwortschatz
gegen;against;Grundwortschatz
bei;at;Grundwortschatz
von;from;Grundwortschatz
nach;to;Grundwortschatz
vor;before;Grundwortschatz
über;over;Grundwortschatz
unter;under;Grundwortschatz
zwischen;between;Grundwortschatz
null;zero;Grundwortschatz
eins;one;Grundwortschatz
zwei;two;Grundwortschatz
drei;three;Grundwortschatz
vier;four;Grundwortschatz
fünf;five;Grundwortschatz
sechs;six;Grundwortschatz
sieben;seven;Grundwortschatz
acht;eight;Grundwortschatz
neun;nine;Grundwortschatz
zehn;ten;Grundwortschatz
elf;eleven;Grundwortschatz
zwölf;twelve;Grundwortschatz
dreizehn;thirteen;Grundwortschatz
vierzehn;fourteen;Grundwortschatz
fünfzehn;fifteen;Grundwortschatz
sechzehn;sixteen;Grundwortschatz
siebzehn;seventeen;Grundwortschatz
achtzehn;eighteen;Grundwortschatz
neunzehn;nineteen;Grundwortschatz
zwanzig;twenty;Grundwortschatz
dreissig;thirty;Grundwortschatz
vierzig;forty;Grundwortschatz
fünfzig;fifty;Grundwortschatz
hundert;hundred;Grundwortschatz
tausend;thousand;Grundwortschatz
rot;red;Grundwortschatz
blau;blue;Grundwortschatz
grün;green;Grundwortschatz
gelb;yellow;Grundwortschatz
schwarz;black;Grundwortschatz
weiss;white;Grundwortschatz
grau;grey;Grundwortschatz
braun;brown;Grundwortschatz
orange;orange;Grundwortschatz
rosa;pink;Grundwortschatz
HauptFrage;main question;Grundwortschatz
HauptAntwort;main answer;Grundwortschatz
HauptSache;main thing;Grundwortschatz
HauptGrund;main reason;Grundwortschatz
HauptProblem;main problem;Grundwortschatz
HauptLösung;main solution;Grundwortschatz
HauptFehler;main mistake;Grundwortschatz
HauptBeispiel;main example;Grundwortschatz
NebenFrage;side question;Grundwortschatz
NebenAntwort;side answer;Grundwortschatz
NebenSache;side thing;Grundwortschatz
NebenGrund;side reason;Grundwortschatz
NebenProblem;side problem;Grundwortschatz
NebenLösung;side solution;Grundwortschatz
NebenFehler;side mistake;Grundwortschatz
NebenBeispiel;side example;Grundwortschatz
GrundFrage;basic question;Grundwortschatz
GrundAntwort;basic answer;Grundwortschatz
GrundSache;basic thing;Grundwortschatz
GrundGrund;basic reason;Grundwortschatz
GrundProblem;basic problem;Grundwortschatz
GrundLösung;basic solution;Grundwortschatz
